timeout_sec,http2MaxRequests,http1MaxPendingRequests,retry_attempts,consecutive5xxErrors,reward,latency_p99_ms,latency_spread,error_rate_5xx,envoy_cpu_cores,rps_user,success_rate
2.25,100,500,4,6,0.8552163676999416,838.5765406195477,827.4541555513333,0.0,1.1027347018614386,348.0853481896247,0.44805782389959825
1.31,100,50,0,2,0.8419959916168918,422.8611111111102,416.2200496585962,0.00012467273407305821,1.2358133495710635,320.84000000000003,0.4523126792170552
1.0,100,149,0,10,0.8300757984923219,568.0978260869541,560.441098258208,0.00011500862564692352,1.3215456306652915,347.8,0.45278895917193795
1.0,100,50,0,10,0.8259727216600177,930.8695279066604,908.1355359918882,9.562838540894835e-05,1.3307268011524225,418.28584503380137,0.45012912184582593
1.0,100,54,2,1,0.8691610357979347,2081.5952749786366,2010.02219282776,0.00017190767133908977,0.909980649346965,465.3660850434017,0.44808321794629447
1.0,100,121,2,3,0.7968237636325085,2287.1541209262114,2195.189406345275,0.0001460085581303602,1.475706422914622,547.913088276469,0.4488976324660614
3.0,100,355,5,1,0.7659268759664314,2405.317679558012,2278.467679558012,0.0,1.7164588136313486,582.0,0.4463917525773196
1.0,100,50,0,3,0.8204773463396533,2861.9393279103015,2681.8976762009283,0.0,1.2513866624790664,595.8395414218872,0.45166481908477435
1.0,226,110,1,1,0.771302907659293,3879.401163837965,3665.4216373659706,0.0001340538974317905,1.5778145375573287,596.7748907912634,0.4505663946087917
1.0,100,54,0,1,0.7539407734816338,4000.7316984457566,3788.671095176556,6.688152397485546e-05,1.7086932893115694,598.072496300148,0.45070891606501695
1.0,189,50,0,10,0.7997448742956165,3997.4568184407626,3800.835874622214,0.00015511033491581182,1.3417876951964713,581.0321299148034,0.4494864442946603
1.68,100,50,5,8,0.864522406620404,2489.9267806971516,2355.6860032650034,7.163867339048903e-05,0.9221570435579155,558.3576315263052,0.4504942301776801
1.0,100,50,0,1,0.8302160505289591,2373.634533853273,2279.1113640776957,0.00014931645194507317,1.202881432933405,535.774852388191,0.4505002791037359
3.0,235,50,3,1,0.8363806698252998,2062.9627184775245,1984.2584105603542,8.294843407407933e-05,1.173881373561525,482.2465970638825,0.4492369070882015
2.53,500,50,0,1,0.8490522185477614,973.1455581714179,940.4652151632791,0.0,1.1437952258400856,404.57060682427294,0.4519478031959428
2.5,288,95,0,8,0.8556850132032866,686.7053973581411,677.3408920762249,0.0,1.1090516847258949,342.955624175033,0.44903194356184534
1.0,500,499,0,10,0.9269593562670937,438.66401162467093,432.35555040861186,0.0,0.5552911644621414,321.00070754316914,0.4504672792204678
1.0,100,500,0,10,0.8349487923052283,870.8851674641126,862.9129035960466,0.0,1.262616392522835,350.04,0.44886298708719
2.7,500,50,5,3,0.8568526207954575,985.0811688311685,955.9955657183281,0.0,1.080476475818023,431.72,0.4485314555730566
2.74,100,50,0,1,0.8770876678401134,2065.212069545787,1995.0960789284095,7.979681988878523e-05,0.847795458690175,501.27310907563697,0.4504468307526877
1.0,100,500,0,9,0.8186668319420584,2272.365771812082,2177.9686250104255,7.165890361877462e-05,1.302177546762212,558.2,0.45145109279828016
1.0,162,50,0,1,0.8179096053116962,2454.5315400812347,2321.6751740737495,0.00013842933886025943,1.2972394083568772,577.9352902116084,0.44940476602468277
1.0,100,50,5,1,0.7888492465602158,3444.747899159651,3250.691637816638,6.781959986436079e-05,1.465889070419335,589.8,0.45066124109867756
1.0,288,474,0,1,0.789851244289504,3813.638959216715,3608.920894522216,0.00026011170940243354,1.4332511604738656,614.1523011079557,0.4487429499852058
1.0,100,50,5,8,0.78301744293506,3803.0602799310263,3595.6042481679174,0.0001321677839756415,1.4889739700149367,605.2791206572786,0.4494448749528133
1.0,100,500,0,1,0.7991623763159765,3105.484693877565,2907.607981548798,6.758583400919169e-05,1.4061293952899567,591.84,0.45221681535550146
2.93,100,50,0,1,0.8173299894689182,2462.0326931556874,2328.5897904878366,0.0,1.301672668127203,573.0880387215489,0.45292109311071177
2.52,245,50,3,10,0.8674767060378543,2323.320683516821,2226.976131586891,7.524916046345718e-05,0.9083592928727814,531.5673922956918,0.45172699532341776
1.06,500,50,0,10,0.7605399935265451,2097.3626367486368,2024.319066833047,8.433945690551121e-05,1.778121982754438,474.2738626454942,0.4507042452601797
1.89,100,50,2,1,0.8097352025093622,997.0689030287925,965.6785859101174,0.0,1.4566934636271387,391.30490898179636,0.4499078805081805
1.0,100,69,0,7,0.8716946486184425,768.8999999999974,759.7416252072942,0.00012056908608632747,0.975246952040044,331.76,0.45213407282372803
3.0,498,237,0,1,0.8272613585601067,450.47897196261647,443.9513857557199,0.00012822156686754713,1.3518383431281333,311.96,0.4526221310424413
1.0,100,358,1,2,0.857666015928276,837.4146359966767,827.8369640853574,0.0,1.0831634859043915,349.6446849873995,0.4523509599182245
1.06,100,173,0,1,0.8536159325334861,986.4808297759364,956.7576099574329,0.0,1.1062979250743326,437.07438262469503,0.44806440982643625
1.0,100,50,3,1,0.8115806320803349,2114.3352504637505,2037.356048874675,0.00015868857624937085,1.3686478562268747,504.15223337995195,0.4460488244012577
1.3,100,50,0,1,0.7799386153400636,2311.9759736656656,2212.7990814943455,0.00014524929230641206,1.609374743522878,550.7992421693428,0.4497458538265131
1.0,500,50,0,1,0.7773119488015626,2432.3272477370647,2283.6444422861045,0.0,1.6243053532533935,577.1118787248511,0.44843357429779085
1.41,100,500,4,1,0.7783107274413716,3716.2977759757705,3514.700187539581,0.0,1.532480915018516,586.7911584015077,0.44928426773882557
3.0,400,50,5,1,0.7904456859680737,3352.24358974358,3125.810353168834,6.528693608408958e-05,1.4603688069528276,612.68,0.4510674414049749
1.0,100,50,0,1,0.8414834872237259,4131.102803691802,3919.2143354437103,6.806053702725709e-05,0.9996520764982878,587.735592623705,0.4512353031029191
1.55,462,500,2,2,0.8223681008661291,3857.61642755698,3675.5082722501284,0.0,1.1699510364107304,577.3274178967158,0.45188111433320066
1.0,306,500,0,1,0.814773078683235,2466.9041769041755,2331.533628299748,7.021485746383934e-05,1.3217270139790604,569.6800000000001,0.4507793849178486
1.0,500,500,0,1,0.8200728574297631,2325.2171016869333,2230.590842306818,0.0002240671766022205,1.2871087414088982,535.5608165538573,0.45059384329429353
3.0,396,191,0,1,0.8162320100282712,2080.3797632969327,2006.513751688427,8.34073357538892e-05,1.3337473212694777,479.5741242476366,0.45079232732203134
1.0,100,500,0,1,0.8358974072404093,959.876977152899,930.7647056124291,0.0003012350637614218,1.2491968825236923,398.36,0.4509488904508484
1.64,208,500,4,1,0.878168529329465,733.6581402747166,725.0773607149237,0.00011903178548635283,0.9257891850936526,336.0446945877835,0.4513748156939288
1.0,481,50,2,1,0.9344556655361668,464.47148866904274,457.87713511777736,0.0,0.4936097215844388,318.5157777688893,0.44995596350345496
1.0,100,150,0,5,0.8661863505707343,611.1314359717854,601.3364475204716,0.0,1.0300935993177165,366.5552401903924,0.44969443405127735
1.0,500,90,1,1,0.8359057832685527,972.9110407459286,941.1982782309917,0.0,1.2489500898856807,437.3826187588286,0.4491083716991384
